,dew_point,air_temp,air_pressure,wind_dir,wind_speed,cumulative_snow_hours,cumulative_rain_hours,year,month,day,hour
0,-20.4,-7.2,1034.9,340.0,1.0,0,0.0,2015,1,1,0
1,-22.0,-5.0,1016.6,20.0,2.0,0,10.0,2015,1,1,1
2,-22.0,-3.0,1016.6,30.0,3.0,0,10.0,2015,1,1,2
3,-22.5,-1.2,1034.0,180.0,3.0,0,71.0,2015,1,1,3
4,-22.0,0.0,1016.6,180.0,2.0,0,10.0,2015,1,1,4
5,-22.0,1.0,1016.6,160.0,3.0,0,10.0,2015,1,1,5
6,-23.4,2.2,1028.9,220.0,3.0,0,6.0,2015,1,1,6
7,-23.0,2.0,1016.6,200.0,3.0,0,10.0,2015,1,1,7
8,-24.0,2.0,1016.6,180.0,4.0,0,10.0,2015,1,1,8
9,-22.8,0.1,1026.9,220.0,1.0,0,1.0,2015,1,1,9
10,-21.0,-1.0,1016.6,180.0,3.0,0,10.0,2015,1,1,10
11,-19.0,-2.0,1016.6,180.0,1.0,0,10.0,2015,1,1,11
12,-21.3,-1.9,1026.6,200.0,2.0,0,1.0,2015,1,1,12
13,-19.0,-8.0,1016.6,70.0,1.0,0,0.0,2015,1,1,13
14,-18.0,-6.0,1016.6,340.0,2.0,0,0.0,2015,1,1,14
15,-19.1,-4.9,1027.2,320.0,1.0,0,0.0,2015,1,1,15
16,-18.0,-4.0,1016.6,260.0,2.0,0,0.0,2015,1,1,16
17,-19.0,-5.0,1016.6,350.0,3.0,0,10.0,2015,1,1,17
18,-17.8,-5.7,1028.7,180.0,0.0,0,1.0,2015,1,1,18
19,-18.0,-2.0,1016.6,20.0,5.0,0,10.0,2015,1,1,19
20,-18.0,-3.0,1016.6,20.0,4.0,0,10.0,2015,1,1,20
21,-19.0,-3.1,1030.4,40.0,3.0,0,0.0,2015,1,1,21
22,-18.0,-5.0,1016.6,180.0,1.0,0,10.0,2015,1,1,22
23,-17.0,-7.0,1016.6,20.0,2.0,0,10.0,2015,1,1,23
24,-17.1,-5.7,1032.1,40.0,2.0,0,0.0,2015,1,2,0
25,-15.0,-1.0,1016.6,180.0,1.0,0,10.0,2015,1,2,1
26,-18.0,0.0,1016.6,30.0,3.0,0,10.0,2015,1,2,2
27,-19.0,1.6,1032.8,40.0,2.0,0,21.0,2015,1,2,3
28,-19.0,3.0,1016.6,40.0,4.0,0,10.0,2015,1,2,4
29,-18.0,5.0,1016.6,20.0,2.0,0,10.0,2015,1,2,5
30,-18.5,4.5,1029.6,200.0,3.0,0,24.0,2015,1,2,6
31,-19.0,5.0,1016.6,220.0,3.0,0,10.0,2015,1,2,7
32,-18.0,4.0,1016.6,190.0,3.0,0,10.0,2015,1,2,8
33,-17.8,1.6,1028.6,220.0,3.0,0,1.0,2015,1,2,9
34,-17.0,3.0,1016.6,180.0,4.0,0,10.0,2015,1,2,10
35,-18.0,1.0,1016.6,210.0,2.0,0,0.0,2015,1,2,11
36,-17.4,-1.2,1027.9,220.0,2.0,0,1.0,2015,1,2,12
37,-16.0,-2.0,1016.6,150.0,2.0,0,0.0,2015,1,2,13
38,-15.0,-3.0,1016.6,160.0,1.0,0,0.0,2015,1,2,14
39,-17.1,-2.2,1025.5,200.0,2.0,0,0.0,2015,1,2,15
40,-15.0,-5.0,1016.6,180.0,0.0,0,0.0,2015,1,2,16
41,-15.0,-6.0,1016.6,90.0,2.0,0,0.0,2015,1,2,17
42,-16.3,-4.8,1023.3,250.0,1.0,0,1.0,2015,1,2,18
43,-15.0,-8.0,1016.6,80.0,2.0,0,0.0,2015,1,2,19
44,-15.0,-8.0,1016.6,20.0,1.0,0,0.0,2015,1,2,20
45,-15.5,-6.0,1020.5,110.0,1.0,0,0.0,2015,1,2,21
46,-13.0,-7.0,1016.6,350.0,1.0,0,0.0,2015,1,2,22
47,-13.0,-5.0,1016.6,180.0,1.0,0,0.0,2015,1,2,23
48,-14.4,-4.2,1018.7,70.0,2.0,0,7.0,2015,1,3,0
49,-12.0,-4.0,1016.6,360.0,1.0,0,0.0,2015,1,3,1
50,-12.0,-2.0,1016.6,30.0,1.0,0,0.0,2015,1,3,2
51,-14.5,-1.0,1017.6,40.0,2.0,0,1.0,2015,1,3,3
52,-14.0,1.0,1016.6,180.0,1.0,0,0.0,2015,1,3,4
53,-14.0,2.0,1016.6,180.0,1.0,0,0.0,2015,1,3,5
54,-14.8,2.3,1014.1,40.0,1.0,0,1.0,2015,1,3,6
55,-14.0,3.0,1016.6,180.0,1.0,0,0.0,2015,1,3,7
56,-15.0,3.0,1016.6,200.0,2.0,0,0.0,2015,1,3,8
57,-14.0,1.3,1014.3,180.0,1.0,0,1.0,2015,1,3,9
58,-13.0,-2.0,1016.6,180.0,1.0,0,0.0,2015,1,3,10
59,-13.0,-4.0,1016.6,180.0,1.0,0,0.0,2015,1,3,11
60,-13.6,-1.1,1015.6,200.0,1.0,0,1.0,2015,1,3,12
61,-12.0,-4.0,1016.6,180.0,0.0,0,0.0,2015,1,3,13
62,-12.0,-6.0,1016.6,180.0,1.0,0,0.0,2015,1,3,14
63,-12.7,-3.8,1015.5,360.0,1.0,0,0.0,2015,1,3,15
64,-13.0,-7.0,1016.6,360.0,2.0,0,0.0,2015,1,3,16
65,-13.0,-7.0,1016.6,350.0,3.0,0,0.0,2015,1,3,17
66,-12.3,-5.3,1015.8,40.0,1.0,0,1.0,2015,1,3,18
67,-13.0,-6.0,1016.6,330.0,3.0,0,0.0,2015,1,3,19
68,-14.0,-5.0,1016.6,320.0,2.0,0,0.0,2015,1,3,20
69,-12.0,-6.7,1015.4,90.0,1.0,0,0.0,2015,1,3,21
70,-13.0,-7.0,1016.6,360.0,4.0,0,0.0,2015,1,3,22
71,-14.0,-6.0,1016.6,30.0,2.0,0,0.0,2015,1,3,23
72,-12.3,-3.6,1017.0,220.0,1.0,0,7.0,2015,1,4,0
73,-12.0,-1.0,1016.6,180.0,3.0,0,0.0,2015,1,4,1
74,-14.0,0.0,1016.6,200.0,2.0,0,0.0,2015,1,4,2
75,-12.4,4.0,1018.3,290.0,1.0,0,1.0,2015,1,4,3
76,-14.0,6.0,1016.6,330.0,2.0,0,0.0,2015,1,4,4
77,-14.0,8.0,1016.6,180.0,1.0,0,0.0,2015,1,4,5
78,-13.3,8.4,1015.7,90.0,3.0,0,1.0,2015,1,4,6
79,-14.0,8.0,1016.6,110.0,3.0,0,0.0,2015,1,4,7
80,-13.0,7.0,1016.6,120.0,3.0,0,0.0,2015,1,4,8
81,-12.7,5.3,1016.3,90.0,2.0,0,1.0,2015,1,4,9
82,-12.0,4.0,1016.6,180.0,1.0,0,0.0,2015,1,4,10
83,-11.0,1.0,1016.6,40.0,1.0,0,0.0,2015,1,4,11
84,-10.8,1.3,1017.7,90.0,1.0,0,1.0,2015,1,4,12
85,-9.0,0.0,1016.6,70.0,1.0,0,0.0,2015,1,4,13
86,-9.0,1.0,1016.6,180.0,1.0,0,0.0,2015,1,4,14
87,-6.6,2.0,1017.7,40.0,1.0,0,0.0,2015,1,4,15
88,-9.0,1.0,1016.6,180.0,1.0,0,0.0,2015,1,4,16
89,-9.0,2.0,1016.6,180.0,1.0,0,0.0,2015,1,4,17
90,-7.5,1.0,1016.7,360.0,1.0,0,1.0,2015,1,4,18
91,-9.0,1.0,1016.6,180.0,0.0,0,0.0,2015,1,4,19
92,-8.0,-1.0,1016.6,180.0,1.0,0,0.0,2015,1,4,20
93,-5.8,1.8,1015.9,20.0,1.0,0,0.0,2015,1,4,21
94,-7.0,-1.0,1016.6,180.0,1.0,0,0.0,2015,1,4,22
95,-7.0,0.0,1016.6,10.0,3.0,0,0.0,2015,1,4,23
96,-5.1,2.5,1016.1,90.0,2.0,0,7.0,2015,1,5,0
97,-9.0,3.0,1016.6,330.0,2.0,0,0.0,2015,1,5,1
98,-9.0,5.0,1016.6,330.0,3.0,0,0.0,2015,1,5,2
99,-6.2,7.6,1017.2,70.0,1.0,0,1.0,2015,1,5,3
100,-9.0,9.0,1016.6,20.0,3.0,0,0.0,2015,1,5,4
101,-12.0,11.0,1016.6,360.0,5.0,0,0.0,2015,1,5,5
102,-13.5,9.7,1017.5,340.0,6.0,0,7.0,2015,1,5,6
103,-14.0,9.0,1016.6,320.0,9.0,0,10.0,2015,1,5,7
