,pollution,dew,temp,press,wnd_dir,wnd_spd,snow,rain
24,129.0,-16,-4.0,1020.0,SE,1.79,0,0
25,148.0,-15,-4.0,1020.0,SE,2.68,0,0
26,159.0,-11,-5.0,1021.0,SE,3.57,0,0
27,181.0,-7,-5.0,1022.0,SE,5.36,1,0
28,138.0,-7,-5.0,1022.0,SE,6.25,2,0
29,109.0,-7,-6.0,1022.0,SE,7.14,3,0
30,105.0,-7,-6.0,1023.0,SE,8.93,4,0
31,124.0,-7,-5.0,1024.0,SE,10.72,0,0
32,120.0,-8,-6.0,1024.0,SE,12.51,0,0
33,132.0,-7,-5.0,1025.0,SE,14.3,0,0
34,140.0,-7,-5.0,1026.0,SE,17.43,1,0
35,152.0,-8,-5.0,1026.0,SE,20.56,0,0
36,148.0,-8,-5.0,1026.0,SE,23.69,0,0
37,164.0,-8,-5.0,1025.0,SE,27.71,0,0
38,158.0,-9,-5.0,1025.0,SE,31.73,0,0
39,154.0,-9,-5.0,1025.0,SE,35.75,0,0
40,159.0,-9,-5.0,1026.0,SE,37.54,0,0
41,164.0,-8,-5.0,1027.0,SE,39.33,0,0
42,170.0,-8,-5.0,1027.0,SE,42.46,0,0
43,149.0,-8,-5.0,1028.0,SE,44.25,0,0
44,154.0,-7,-5.0,1028.0,SE,46.04,0,0
45,164.0,-7,-5.0,1027.0,SE,49.17,1,0
46,156.0,-8,-6.0,1028.0,SE,52.3,2,0
47,126.0,-8,-6.0,1027.0,SE,55.43,3,0
48,90.0,-7,-6.0,1027.0,SE,58.56,4,0
49,63.0,-8,-6.0,1026.0,SE,61.69,5,0
50,65.0,-8,-7.0,1026.0,SE,65.71,6,0
51,55.0,-8,-7.0,1025.0,SE,68.84,7,0
52,65.0,-8,-7.0,1024.0,SE,72.86,8,0
53,83.0,-9,-8.0,1024.0,SE,76.88,9,0
54,91.0,-10,-8.0,1024.0,SE,80.9,10,0
55,86.0,-10,-9.0,1024.0,SE,84.92,11,0
56,82.0,-10,-9.0,1024.0,SE,89.84,12,0
57,86.0,-11,-9.0,1023.0,SE,93.86,13,0
58,78.0,-11,-9.0,1023.0,SE,97.88,15,0
59,98.0,-11,-9.0,1022.0,SE,102.8,16,0
60,107.0,-11,-9.0,1021.0,SE,105.93,17,0
61,90.0,-11,-9.0,1020.0,SE,111.74,19,0
62,96.0,-11,-9.0,1020.0,SE,116.66,20,0
63,95.0,-11,-9.0,1020.0,SE,121.58,21,0
64,86.0,-11,-9.0,1020.0,SE,124.71,22,0
65,70.0,-11,-9.0,1020.0,SE,127.84,23,0
66,61.0,-11,-9.0,1021.0,cv,0.89,24,0
67,53.0,-11,-9.0,1022.0,cv,1.78,25,0
68,71.0,-10,-9.0,1022.0,NW,4.02,26,0
69,72.0,-11,-10.0,1023.0,NW,7.15,27,0
70,76.0,-11,-9.0,1023.0,NW,11.17,0,0
71,73.0,-12,-11.0,1023.0,NW,14.3,0,0
72,79.0,-14,-12.0,1023.0,NW,16.09,0,0
73,58.0,-16,-9.0,1023.0,NW,21.9,0,0
74,25.0,-17,-10.0,1024.0,NW,29.95,0,0
75,26.0,-18,-11.0,1024.0,NW,39.78,0,0
76,28.0,-19,-11.0,1025.0,NW,48.72,0,0
77,26.0,-20,-12.0,1026.0,NW,55.87,0,0
78,20.0,-21,-12.0,1027.0,NW,64.81,0,0
79,29.0,-21,-13.0,1027.0,NW,73.75,0,0
80,26.0,-22,-13.0,1028.0,NW,80.9,0,0
81,27.0,-22,-13.0,1029.0,NW,90.73,0,0
82,27.0,-22,-12.0,1030.0,NW,100.56,0,0
83,25.0,-23,-12.0,1031.0,NW,108.61,0,0
84,29.0,-21,-11.0,1030.0,NW,117.55,0,0
85,32.0,-20,-10.0,1030.0,NW,127.38,0,0
86,28.0,-21,-10.0,1030.0,NW,136.32,0,0
87,29.0,-21,-9.0,1030.0,NW,145.26,0,0
88,30.0,-21,-9.0,1031.0,NW,152.41,0,0
89,30.0,-20,-11.0,1032.0,NW,159.56,0,0
90,28.0,-23,-11.0,1032.0,NW,165.37,0,0
91,26.0,-21,-12.0,1033.0,NW,171.18,0,0
92,31.0,-24,-12.0,1034.0,NW,180.12,0,0
93,33.0,-24,-13.0,1034.0,NW,187.27,0,0
94,29.0,-24,-13.0,1035.0,NW,195.32,0,0
95,31.0,-26,-15.0,1035.0,NW,198.45,0,0
96,30.0,-26,-17.0,1035.0,NW,201.58,0,0
97,34.0,-26,-18.0,1035.0,NW,205.6,0,0
98,27.0,-26,-19.0,1035.0,NW,208.73,0,0
99,25.0,-27,-18.0,1035.0,NW,213.65,0,0
100,28.0,-27,-19.0,1035.0,NW,218.57,0,0
101,28.0,-27,-16.0,1034.0,NE,4.92,0,0
102,27.0,-26,-16.0,1035.0,NE,8.05,0,0
103,27.0,-27,-16.0,1034.0,NE,13.86,0,0
104,27.0,-26,-16.0,1035.0,NE,18.78,0,0
105,29.0,-26,-15.0,1035.0,NE,24.59,0,0
106,36.0,-25,-14.0,1035.0,NE,29.51,0,0
107,30.0,-25,-13.0,1035.0,NE,34.43,0,0
108,27.0,-25,-12.0,1034.0,NE,39.35,0,0
109,39.0,-24,-11.0,1032.0,NE,41.14,0,0
110,41.0,-22,-11.0,1032.0,cv,0.89,0,0
111,33.0,-23,-11.0,1031.0,NW,1.79,0,0
112,50.0,-24,-11.0,1031.0,NW,3.58,0,0
113,56.0,-23,-11.0,1031.0,NW,5.37,0,0
114,59.0,-23,-11.0,1032.0,NW,7.16,0,0
115,60.0,-22,-13.0,1033.0,NW,10.29,0,0
116,84.0,-22,-12.0,1033.0,NW,13.42,0,0
117,106.0,-24,-18.0,1033.0,NW,16.55,0,0
118,66.0,-22,-13.0,1034.0,NW,20.57,0,0
119,50.0,-22,-16.0,1033.0,NW,23.7,0,0
120,56.0,-25,-17.0,1033.0,NW,26.83,0,0
121,77.0,-25,-14.0,1033.0,NE,4.02,0,0
122,50.0,-26,-14.0,1034.0,NE,8.04,0,0
123,44.0,-26,-14.0,1033.0,NE,13.85,0,0
124,27.0,-26,-14.0,1033.0,NE,17.87,0,0
125,28.0,-26,-14.0,1033.0,NE,23.68,0,0
126,21.0,-26,-14.0,1033.0,NE,28.6,0,0
127,25.0,-26,-15.0,1034.0,NE,33.52,0,0
128,20.0,-26,-14.0,1034.0,NE,39.33,0,0
129,29.0,-25,-13.0,1035.0,NE,44.25,0,0
130,34.0,-25,-12.0,1035.0,NE,50.06,0,0
131,42.0,-24,-11.0,1035.0,NE,54.98,0,0
132,28.0,-24,-10.0,1034.0,NE,59.0,0,0
133,36.0,-22,-10.0,1033.0,NW,4.02,0,0
134,48.0,-22,-9.0,1033.0,NW,5.81,0,0
135,49.0,-22,-8.0,1033.0,cv,0.89,0,0
136,52.0,-22,-8.0,1033.0,NW,1.79,0,0
137,56.0,-21,-9.0,1033.0,NW,3.58,0,0
138,96.0,-22,-9.0,1033.0,NW,5.37,0,0
139,75.0,-22,-14.0,1034.0,cv,0.89,0,0
140,105.0,-22,-12.0,1035.0,NW,1.79,0,0
141,132.0,-21,-14.0,1034.0,NW,3.58,0,0
142,93.0,-22,-16.0,1035.0,NW,5.37,0,0
143,131.0,-21,-16.0,1035.0,NW,7.16,0,0
144,127.0,-21,-16.0,1035.0,NW,8.95,0,0
145,130.0,-21,-16.0,1035.0,cv,0.45,0,0
146,43.0,-22,-18.0,1036.0,cv,1.34,0,0
147,37.0,-23,-15.0,1036.0,NW,4.02,0,0
148,30.0,-24,-16.0,1035.0,NW,7.15,0,0
149,28.0,-25,-15.0,1035.0,NW,10.28,0,0
150,24.0,-24,-15.0,1035.0,NW,14.3,0,0
151,23.0,-25,-13.0,1036.0,NE,4.92,0,0
152,24.0,-24,-14.0,1036.0,NW,4.02,0,0
153,27.0,-23,-12.0,1036.0,NW,8.94,0,0
154,40.0,-22,-11.0,1036.0,NW,12.96,0,0
155,42.0,-20,-10.0,1036.0,NW,16.09,0,0
156,42.0,-21,-9.0,1035.0,NW,19.22,0,0
157,55.0,-21,-8.0,1034.0,NW,21.01,0,0
158,52.0,-20,-7.0,1033.0,NW,22.8,0,0
159,51.0,-20,-7.0,1032.0,NW,24.59,0,0
160,57.0,-18,-8.0,1032.0,NW,26.38,0,0
161,50.0,-19,-9.0,1032.0,NW,28.17,0,0
162,54.0,-19,-11.0,1032.0,NE,0.89,0,0
163,67.0,-18,-11.0,1033.0,NW,1.79,0,0
164,106.0,-19,-15.0,1032.0,NE,1.79,0,0
165,159.0,-19,-14.0,1032.0,cv,0.45,0,0
166,198.0,-21,-14.0,1032.0,cv,1.34,0,0
167,190.0,-21,-16.0,1032.0,cv,2.23,0,0
168,210.0,-21,-17.0,1031.0,NW,1.79,0,0
169,195.0,-19,-16.0,1031.0,NW,3.58,0,0
170,275.0,-20,-16.0,1031.0,NE,0.89,0,0
171,164.0,-19,-15.0,1030.0,SE,0.89,0,0
172,110.0,-18,-15.0,1030.0,cv,0.45,0,0
173,100.0,-18,-15.0,1029.0,cv,1.34,0,0
174,81.0,-18,-15.0,1029.0,NW,1.79,0,0
175,71.0,-16,-13.0,1029.0,NE,0.89,0,0
176,66.0,-16,-12.0,1029.0,SE,0.89,0,0
177,92.0,-16,-12.0,1030.0,SE,1.78,0,0
178,135.0,-17,-10.0,1030.0,NE,0.89,0,0
179,155.0,-16,-10.0,1029.0,cv,0.89,0,0
180,198.0,-16,-9.0,1028.0,SE,3.13,0,0
181,250.0,-15,-8.0,1026.0,SE,4.92,0,0
182,200.0,-16,-8.0,1026.0,cv,0.89,0,0
183,231.0,-16,-8.0,1025.0,cv,1.78,0,0
184,250.0,-16,-8.0,1025.0,cv,2.67,0,0
185,212.0,-17,-8.0,1025.0,SE,0.89,0,0
186,219.0,-17,-9.0,1026.0,cv,0.45,0,0
187,227.0,-17,-11.0,1026.0,cv,1.34,0,0
188,226.0,-17,-12.0,1026.0,cv,1.79,0,0
189,225.0,-18,-14.0,1027.0,NW,1.79,0,0
190,168.0,-16,-9.0,1027.0,NW,4.92,0,0
191,169.0,-16,-11.0,1027.0,NW,6.71,0,0
192,165.0,-17,-13.0,1027.0,cv,0.89,0,0
193,159.0,-17,-13.0,1027.0,NW,3.13,0,0
194,167.0,-17,-14.0,1027.0,NW,4.92,0,0
195,196.0,-17,-15.0,1027.0,NW,8.05,0,0
196,169.0,-17,-13.0,1027.0,NW,9.84,0,0
197,155.0,-19,-16.0,1027.0,NW,13.86,0,0
198,119.0,-18,-15.0,1027.0,NW,17.88,0,0
199,106.0,-19,-15.0,1027.0,NW,21.9,0,0
200,93.0,-18,-14.0,1028.0,NW,25.92,0,0
201,84.0,-18,-9.0,1029.0,NE,5.81,0,0
202,73.0,-17,-7.0,1029.0,NE,11.62,0,0
203,66.0,-17,-6.0,1030.0,NE,17.43,0,0
204,40.0,-16,-6.0,1029.0,NE,23.24,0,0
205,49.0,-16,-5.0,1029.0,NE,28.16,0,0
206,50.0,-15,-4.0,1029.0,NE,33.08,0,0
207,49.0,-14,-4.0,1028.0,NE,37.1,0,0
208,41.0,-15,-4.0,1029.0,NE,38.89,0,0
209,37.0,-15,-4.0,1030.0,NW,1.79,0,0
210,45.0,-15,-7.0,1030.0,NE,3.13,0,0
211,44.0,-15,-6.0,1031.0,NW,3.13,0,0
212,54.0,-15,-7.0,1032.0,NW,4.92,0,0
