,dew,temp,press,wnd_dir,wnd_spd,snow,rain,year,month,day,hour,pollution
0,-20.4,-7.2,1034.9,340.0,1.0,0,0.0,2015,1,1,0,14.644117647058824
1,-22.0,-5.0,1016.6,20.0,2.0,0,10.0,2015,1,1,1,16.429411764705886
2,-22.0,-3.0,1016.6,30.0,3.0,0,10.0,2015,1,1,2,18.444117647058828
3,-22.5,-1.2,1034.0,180.0,3.0,0,71.0,2015,1,1,3,15.455882352941178
4,-22.0,0.0,1016.6,180.0,2.0,0,10.0,2015,1,1,4,15.773529411764706
5,-22.0,1.0,1016.6,160.0,3.0,0,10.0,2015,1,1,5,16.31764705882353
6,-23.4,2.2,1028.9,220.0,3.0,0,6.0,2015,1,1,6,16.435294117647054
7,-23.0,2.0,1016.6,200.0,3.0,0,10.0,2015,1,1,7,18.826470588235303
8,-24.0,2.0,1016.6,180.0,4.0,0,10.0,2015,1,1,8,21.50588235294117
9,-22.8,0.1,1026.9,220.0,1.0,0,1.0,2015,1,1,9,73.87217463050175
10,-21.0,-1.0,1016.6,180.0,3.0,0,10.0,2015,1,1,10,35.00857142857144
11,-19.0,-2.0,1016.6,180.0,1.0,0,10.0,2015,1,1,11,36.06857142857142
12,-21.3,-1.9,1026.6,200.0,2.0,0,1.0,2015,1,1,12,44.871428571428595
13,-19.0,-8.0,1016.6,70.0,1.0,0,0.0,2015,1,1,13,50.39714285714286
14,-18.0,-6.0,1016.6,340.0,2.0,0,0.0,2015,1,1,14,47.77714285714285
15,-19.1,-4.9,1027.2,320.0,1.0,0,0.0,2015,1,1,15,44.15142857142857
16,-18.0,-4.0,1016.6,260.0,2.0,0,0.0,2015,1,1,16,46.542857142857116
17,-19.0,-5.0,1016.6,350.0,3.0,0,10.0,2015,1,1,17,54.04857142857142
18,-17.8,-5.7,1028.7,180.0,0.0,0,1.0,2015,1,1,18,69.38285714285715
19,-18.0,-2.0,1016.6,20.0,5.0,0,10.0,2015,1,1,19,86.27714285714286
20,-18.0,-3.0,1016.6,20.0,4.0,0,10.0,2015,1,1,20,96.93714285714287
21,-19.0,-3.1,1030.4,40.0,3.0,0,0.0,2015,1,1,21,105.46857142857144
22,-18.0,-5.0,1016.6,180.0,1.0,0,10.0,2015,1,1,22,110.78285714285713
23,-17.0,-7.0,1016.6,20.0,2.0,0,10.0,2015,1,1,23,118.29142857142857
24,-17.1,-5.7,1032.1,40.0,2.0,0,0.0,2015,1,2,0,118.34285714285713
25,-15.0,-1.0,1016.6,180.0,1.0,0,10.0,2015,1,2,1,114.81142857142858
26,-18.0,0.0,1016.6,30.0,3.0,0,10.0,2015,1,2,2,110.17142857142859
27,-19.0,1.6,1032.8,40.0,2.0,0,21.0,2015,1,2,3,96.57428571428572
28,-19.0,3.0,1016.6,40.0,4.0,0,10.0,2015,1,2,4,74.11428571428571
29,-18.0,5.0,1016.6,20.0,2.0,0,10.0,2015,1,2,5,51.04857142857142
30,-18.5,4.5,1029.6,200.0,3.0,0,24.0,2015,1,2,6,31.048571428571424
31,-19.0,5.0,1016.6,220.0,3.0,0,10.0,2015,1,2,7,22.84117647058824
32,-18.0,4.0,1016.6,190.0,3.0,0,10.0,2015,1,2,8,22.95714285714286
33,-17.8,1.6,1028.6,220.0,3.0,0,1.0,2015,1,2,9,26.805714285714284
34,-17.0,3.0,1016.6,180.0,4.0,0,10.0,2015,1,2,10,33.30285714285714
35,-18.0,1.0,1016.6,210.0,2.0,0,0.0,2015,1,2,11,29.451428571428572
36,-17.4,-1.2,1027.9,220.0,2.0,0,1.0,2015,1,2,12,25.92571428571428
37,-16.0,-2.0,1016.6,150.0,2.0,0,0.0,2015,1,2,13,25.942857142857147
38,-15.0,-3.0,1016.6,160.0,1.0,0,0.0,2015,1,2,14,27.40571428571429
39,-17.1,-2.2,1025.5,200.0,2.0,0,0.0,2015,1,2,15,33.474285714285706
40,-15.0,-5.0,1016.6,180.0,0.0,0,0.0,2015,1,2,16,50.93999999999999
41,-15.0,-6.0,1016.6,90.0,2.0,0,0.0,2015,1,2,17,69.97647058823527
42,-16.3,-4.8,1023.3,250.0,1.0,0,1.0,2015,1,2,18,82.17941176470589
43,-15.0,-8.0,1016.6,80.0,2.0,0,0.0,2015,1,2,19,90.54411764705885
44,-15.0,-8.0,1016.6,20.0,1.0,0,0.0,2015,1,2,20,100.05714285714285
45,-15.5,-6.0,1020.5,110.0,1.0,0,0.0,2015,1,2,21,114.9657142857143
46,-13.0,-7.0,1016.6,350.0,1.0,0,0.0,2015,1,2,22,126.91999999999996
47,-13.0,-5.0,1016.6,180.0,1.0,0,0.0,2015,1,2,23,137.96285714285713
48,-14.4,-4.2,1018.7,70.0,2.0,0,7.0,2015,1,3,0,149.57142857142858
49,-12.0,-4.0,1016.6,360.0,1.0,0,0.0,2015,1,3,1,152.54857142857142
50,-12.0,-2.0,1016.6,30.0,1.0,0,0.0,2015,1,3,2,157.41428571428563
51,-14.5,-1.0,1017.6,40.0,2.0,0,1.0,2015,1,3,3,158.99142857142851
52,-14.0,1.0,1016.6,180.0,1.0,0,0.0,2015,1,3,4,157.4
53,-14.0,2.0,1016.6,180.0,1.0,0,0.0,2015,1,3,5,154.65294117647062
54,-14.8,2.3,1014.1,40.0,1.0,0,1.0,2015,1,3,6,148.65588235294118
55,-14.0,3.0,1016.6,180.0,1.0,0,0.0,2015,1,3,7,149.62571428571428
56,-15.0,3.0,1016.6,200.0,2.0,0,0.0,2015,1,3,8,147.97142857142853
57,-14.0,1.3,1014.3,180.0,1.0,0,1.0,2015,1,3,9,143.51142857142858
58,-13.0,-2.0,1016.6,180.0,1.0,0,0.0,2015,1,3,10,148.35142857142856
59,-13.0,-4.0,1016.6,180.0,1.0,0,0.0,2015,1,3,11,151.19142857142856
60,-13.6,-1.1,1015.6,200.0,1.0,0,1.0,2015,1,3,12,150.96571428571428
61,-12.0,-4.0,1016.6,180.0,0.0,0,0.0,2015,1,3,13,157.1771428571429
62,-12.0,-6.0,1016.6,180.0,1.0,0,0.0,2015,1,3,14,155.79714285714286
63,-12.7,-3.8,1015.5,360.0,1.0,0,0.0,2015,1,3,15,155.44571428571433
64,-13.0,-7.0,1016.6,360.0,2.0,0,0.0,2015,1,3,16,158.07428571428568
65,-13.0,-7.0,1016.6,350.0,3.0,0,0.0,2015,1,3,17,165.22
66,-12.3,-5.3,1015.8,40.0,1.0,0,1.0,2015,1,3,18,180.8485714285714
67,-13.0,-6.0,1016.6,330.0,3.0,0,0.0,2015,1,3,19,209.39117647058828
68,-14.0,-5.0,1016.6,320.0,2.0,0,0.0,2015,1,3,20,234.18529411764698
69,-12.0,-6.7,1015.4,90.0,1.0,0,0.0,2015,1,3,21,244.0939393939394
70,-13.0,-7.0,1016.6,360.0,4.0,0,0.0,2015,1,3,22,237.8205882352941
71,-14.0,-6.0,1016.6,30.0,2.0,0,0.0,2015,1,3,23,244.8147058823529
