,dew_point,air_temp,air_pressure,wind_dir,wind_speed,cumulative_snow_hours,cumulative_rain_hours,year,month,day,hour
0,-0204,-0072,10349,340,0010,NaN,NaN,2015,1,1,0
3,-0220,-0050,NaN,020,0020,NaN,10,2015,1,1,1
5,-0220,-0030,NaN,030,0030,NaN,10,2015,1,1,2
7,-0225,-0012,10340,180,0030,NaN,71,2015,1,1,3
10,-0220,+0000,NaN,NaN,0020,NaN,10,2015,1,1,4
12,-0220,+0010,NaN,160,0030,NaN,10,2015,1,1,5
14,-0234,+0022,10289,220,0030,NaN,6,2015,1,1,6
17,-0230,+0020,NaN,200,0030,NaN,10,2015,1,1,7
19,-0240,+0020,NaN,180,0040,NaN,10,2015,1,1,8
21,-0228,+0001,10269,220,0010,  ,1,2015,1,1,9
24,-0210,-0010,NaN,180,0030,NaN,10,2015,1,1,10
26,-0190,-0020,NaN,NaN,0010,NaN,10,2015,1,1,11
28,-0213,-0019,10266,200,0020,NaN,1,2015,1,1,12
31,-0190,-0080,NaN,070,0010,NaN,0,2015,1,1,13
33,-0180,-0060,NaN,340,0020,NaN,0,2015,1,1,14
35,-0191,-0049,10272,320,0010,  ,NaN,2015,1,1,15
38,-0180,-0040,NaN,260,0020,NaN,0,2015,1,1,16
40,-0190,-0050,NaN,350,0030,NaN,10,2015,1,1,17
42,-0178,-0057,10287,NaN,9999,  ,1,2015,1,1,18
45,-0180,-0020,NaN,020,0050,NaN,10,2015,1,1,19
47,-0180,-0030,NaN,020,0040,NaN,10,2015,1,1,20
49,-0190,-0031,10304,040,0030,  ,NaN,2015,1,1,21
52,-0180,-0050,NaN,NaN,0010,NaN,10,2015,1,1,22
54,-0170,-0070,NaN,020,0020,NaN,10,2015,1,1,23
56,-0171,-0057,10321,040,0020,NaN,NaN,2015,1,2,0
59,-0150,-0010,NaN,NaN,0010,NaN,10,2015,1,2,1
61,-0180,+0000,NaN,030,0030,NaN,10,2015,1,2,2
63,-0190,+0016,10328,040,0020,NaN,21,2015,1,2,3
66,-0190,+0030,NaN,040,0040,NaN,10,2015,1,2,4
68,-0180,+0050,NaN,020,0020,NaN,10,2015,1,2,5
70,-0185,+0045,10296,200,0030,NaN,24,2015,1,2,6
73,-0190,+0050,NaN,220,0030,NaN,10,2015,1,2,7
75,-0180,+0040,NaN,190,0030,NaN,10,2015,1,2,8
77,-0178,+0016,10286,220,0030,  ,1,2015,1,2,9
80,-0170,+0030,NaN,NaN,0040,NaN,10,2015,1,2,10
82,-0180,+0010,NaN,210,0020,NaN,0,2015,1,2,11
84,-0174,-0012,10279,220,0020,  ,1,2015,1,2,12
87,-0160,-0020,NaN,150,0020,NaN,0,2015,1,2,13
89,-0150,-0030,NaN,160,0010,NaN,0,2015,1,2,14
91,-0171,-0022,10255,200,0020,  ,NaN,2015,1,2,15
94,-0150,-0050,NaN,NaN,0000,NaN,0,2015,1,2,16
96,-0150,-0060,NaN,090,0020,NaN,0,2015,1,2,17
98,-0163,-0048,10233,250,0010,  ,1,2015,1,2,18
101,-0150,-0080,NaN,080,0020,NaN,0,2015,1,2,19
103,-0150,-0080,NaN,020,0010,NaN,0,2015,1,2,20
105,-0155,-0060,10205,110,0010,  ,NaN,2015,1,2,21
108,-0130,-0070,NaN,350,0010,NaN,0,2015,1,2,22
110,-0130,-0050,NaN,NaN,0010,NaN,0,2015,1,2,23
112,-0144,-0042,10187,070,0020,  ,7,2015,1,3,0
115,-0120,-0040,NaN,360,0010,NaN,0,2015,1,3,1
117,-0120,-0020,NaN,030,0010,NaN,0,2015,1,3,2
119,-0145,-0010,10176,040,0020,  ,1,2015,1,3,3
122,-0140,+0010,NaN,NaN,0010,NaN,0,2015,1,3,4
124,-0140,+0020,NaN,NaN,0010,NaN,0,2015,1,3,5
126,-0148,+0023,10141,040,0010,  ,1,2015,1,3,6
129,-0140,+0030,NaN,NaN,0010,NaN,0,2015,1,3,7
131,-0150,+0030,NaN,200,0020,NaN,0,2015,1,3,8
133,-0140,+0013,10143,180,0010,  ,1,2015,1,3,9
136,-0130,-0020,NaN,NaN,0010,NaN,0,2015,1,3,10
138,-0130,-0040,NaN,NaN,0010,NaN,0,2015,1,3,11
140,-0136,-0011,10156,200,0010,  ,1,2015,1,3,12
143,-0120,-0040,NaN,NaN,0000,NaN,0,2015,1,3,13
145,-0120,-0060,NaN,NaN,0010,NaN,0,2015,1,3,14
147,-0127,-0038,10155,360,0010,  ,NaN,2015,1,3,15
150,-0130,-0070,NaN,360,0020,NaN,0,2015,1,3,16
152,-0130,-0070,NaN,350,0030,NaN,0,2015,1,3,17
154,-0123,-0053,10158,040,0010,  ,1,2015,1,3,18
157,-0130,-0060,NaN,330,0030,NaN,0,2015,1,3,19
159,-0140,-0050,NaN,320,0020,NaN,0,2015,1,3,20
161,-0120,-0067,10154,090,0010,  ,NaN,2015,1,3,21
164,-0130,-0070,NaN,360,0040,NaN,0,2015,1,3,22
166,-0140,-0060,NaN,030,0020,NaN,0,2015,1,3,23
168,-0123,-0036,10170,220,0010,  ,7,2015,1,4,0
171,-0120,-0010,NaN,180,0030,NaN,0,2015,1,4,1
173,-0140,+0000,NaN,200,0020,NaN,0,2015,1,4,2
175,-0124,+0040,10183,290,0010,  ,1,2015,1,4,3
178,-0140,+0060,NaN,330,0020,NaN,0,2015,1,4,4
180,-0140,+0080,NaN,NaN,0010,NaN,0,2015,1,4,5
182,-0133,+0084,10157,090,0030,  ,1,2015,1,4,6
185,-0140,+0080,NaN,110,0030,NaN,0,2015,1,4,7
187,-0130,+0070,NaN,120,0030,NaN,0,2015,1,4,8
189,-0127,+0053,10163,090,0020,  ,1,2015,1,4,9
192,-0120,+0040,NaN,NaN,0010,NaN,0,2015,1,4,10
194,-0110,+0010,NaN,040,0010,NaN,0,2015,1,4,11
