date,hour,type,东四,天坛,官园,万寿西宫,奥体中心,农展馆,万柳,北部新区,植物园,丰台花园,云岗,古城,房山,大兴,亦庄,通州,顺义,昌平,门头沟,平谷,怀柔,密云,延庆,定陵,八达岭,密云水库,东高村,永乐店,榆垡,琉璃河,前门,永定门内,西直门北,南三环,东四环
20140627,0,PM2.5,91.2,75.4,53,71.5,74.9,75.7,98.6,64.5,87.5,,120.3,106.2,173.2,89.4,75.7,66.2,30.4,25.2,84.2,25.5,31.8,6.3,9.6,11.6,7.9,11.2,32.3,63.2,,116.2,85.6,83,91.2,77.3,88
20140627,0,PM2.5_24h,140.4,133.5,116.7,124,121.1,121.1,125.6,83.8,98.5,,121.3,131.3,137,139.9,141.4,138.4,114.7,95.5,98.5,97.6,113.9,92.2,67.7,80.7,63.7,100.3,110.6,123.2,,143.5,137.4,131.2,127.1,139.3,127.6
20140627,0,PM10,,,,,,,,,,,,,,,,,,,,,,,,13.4,,,,,277,,,,,,
20140627,0,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,72.8,,,,,142.4,,,,,,
20140627,0,AQI,187,177,153,163,159,159,166,111,130,46,159,174,182,186,188,184,150,126,130,129,149,122,91,108,86,132,145,162,97,191,182,174,168,185,168
20140627,1,PM2.5,64.5,72.3,40.8,69.6,59.8,63.9,90.2,67.5,51.6,,93.1,99.5,115.1,87.3,84.3,36.2,20.1,8,77.8,20.3,12.6,8.7,15.5,4.7,7.2,7.1,12.1,57.6,,123.5,90.8,70,72.9,72.7,57.4
20140627,1,PM2.5_24h,135,128.4,111.1,120.2,116.9,116.7,123.1,82.6,95.7,,120.8,128.6,136.1,136.3,137.6,133.1,108.6,90,97.2,93.9,107,86.5,63,75.8,58.7,94.1,105.4,119.2,,143.4,132.3,127.7,123.8,135,122.8
20140627,1,PM10,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,131,,,,,,
20140627,1,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,69,,,,,143.6,,,,,,
20140627,1,AQI,179,170,146,158,153,153,162,110,126,52,159,170,181,181,183,176,142,119,128,124,140,115,85,101,80,124,138,156,97,191,175,169,163,179,162
20140627,2,PM2.5,44.7,48.8,34.5,58.2,55.9,40.5,81.2,61.3,8.3,,81.9,70.1,96.1,61.5,41.7,14.9,17,7.8,56.3,8.2,9.2,6.1,7.3,3.9,20.4,7.3,9.8,54.9,,119.1,55.9,50.9,72.1,52.9,43
20140627,2,PM2.5_24h,128.6,122.2,104.7,115.1,111.5,110.6,120.1,80.9,90.5,,119.6,125,134,131.1,132.3,127.1,102.8,83.9,95.1,89.2,100,80.7,59.2,70.5,53.8,88,99.4,115.4,,143.1,125.7,122,119.8,129.1,116.9
20140627,2,PM10,,,,,,,,,,,,,,,,,,,,,,,,10.8,,,,,129.7,,,,,,
20140627,2,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,65.5,,,,,145.6,,,,,,
20140627,2,AQI,170,161,138,151,146,145,158,108,120,32,157,165,178,173,175,168,135,112,126,118,132,108,81,95,74,117,131,151,98,191,166,160,157,171,153
20140627,3,PM2.5,52.2,48.8,10.5,38.1,43.8,44.9,52.7,17.2,3.1,,54.7,24.8,70.6,57.1,31.4,15.4,16.4,7.1,36.2,7.3,8.4,3,12.3,6,3.9,6.3,12.1,43.6,,95.1,51.8,53.6,51.3,44.1,45.4
20140627,3,PM2.5_24h,122.1,115.9,96.7,109.1,105.1,104.5,115.1,77.5,84.3,,117.1,119.3,130.6,126.4,126.3,120.4,96.6,77.1,92,84.3,93.4,75.1,55.4,65.6,48.1,82.3,94.3,111,,141.6,118.5,116.3,114.6,123,111.3
20140627,3,PM10,,,,,,,,,,,,,,,,,,,,,,,,18.3,,,,,171.9,,,,,,
20140627,3,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,62.3,,,,,150.4,,,,,,
20140627,3,AQI,161,152,128,143,138,137,151,104,112,29,153,157,173,167,167,158,127,103,122,112,123,101,76,89,67,110,125,145,101,188,155,152,150,162,146
