date,hour,type,东四,天坛,官园,万寿西宫,奥体中心,农展馆,万柳,北部新区,植物园,丰台花园,云岗,古城,房山,大兴,亦庄,通州,顺义,昌平,门头沟,平谷,怀柔,密云,延庆,定陵,八达岭,密云水库,东高村,永乐店,榆垡,琉璃河,前门,永定门内,西直门北,南三环,东四环
20150607,0,SO2,2,2,2,2,2,2,4,8,3,5,2,2,2,3,2,2,2,3,2,2,2,2,2,4,2,2,2,2,2,3,,2,2,3,7
20150607,0,SO2_24h,2,3,3,3,3,3,4,10,2,5,3,3,2,3,4,3,3,3,2,3,2,2,5,4,7,2,4,7,3,4,,4,3,6,5
20150607,0,NO2,48,49,52,34,43,53,64,19,23,75,45,51,73,75,79,69,15,14,16,12,10,11,43,13,52,6,16,37,32,46,,77,70,77,80
20150607,0,NO2_24h,31,34,33,30,32,28,41,22,21,45,25,32,38,40,48,39,17,19,25,15,13,12,19,13,34,6,16,28,27,25,,52,49,86,69
20150607,0,O3,35,5,26,24,47,28,21,49,69,2,41,36,12,7,13,16,55,54,76,81,30,69,22,59,25,59,59,,2,24,,2,19,6,2
20150607,0,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20150607,0,CO,0.7,0.8,0.6,0.1,0.8,0.6,0.6,0.4,0.3,0.6,0.4,0.7,0.6,0.8,0.6,0.7,0.3,0.4,0.2,0.2,0.3,0.2,0.4,0.3,0.3,0.3,0.1,0.4,0.8,0.3,,0.7,0.5,0.6,0.8
20150607,0,CO_24h,0.5,0.5,0.5,0.2,0.5,0.5,0.5,0.5,0.3,0.5,0.4,0.4,0.4,0.5,0.5,0.5,0.3,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.4,0.4,0.2,0.7,0.7,0.3,,0.6,0.5,0.6,0.5
20150607,1,SO2,2,2,3,2,2,2,4,10,2,5,2,220,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,,2,2,4,9
20150607,1,SO2_24h,2,3,3,3,3,3,4,10,2,5,3,12,2,3,3,3,3,3,2,3,2,2,5,4,7,2,4,7,3,4,,4,3,6,5
20150607,1,NO2,36,33,41,37,42,54,48,13,15,61,53,52,76,64,84,67,14,19,20,15,5,14,32,8,32,8,15,33,40,58,,58,62,74,76
